ID_actividad,Fase,Nombre actividad,Descripcion,Fecha inicio,Fecha fin,Horas asignadas,Peso pct,Progreso_manual_(0–100),Estado,Avance esperado,Diferencia,Alerta retraso,Aporte ponderado,Semana proyecto,,Semana,Fecha inicio semana,Progreso real ponderado,Avance esperado semana,Diferencia semanal,Alerta semanal
F2-05,Fase 2,Documentación de herramientas por punto de flujo,Especificar qué herramientas aplican en cada nodo de automatización identificado,2026-04-27,2026-05-02,8,"4,17%",0,No iniciado,"0,0","0,0",En tiempo,"0,00",11,,11,2026-04-27,"0,0","0,0","0,0",En tiempo
F3-01,Fase 3,Diseño conceptual Piloto 1 – alcance y flujo funcional,"Definir alcance, objetivos específicos y flujo funcional detallado del Piloto 1",2026-05-04,2026-05-09,12,"6,25%",0,No iniciado,"0,0","0,0",En tiempo,"0,00",12,,12,2026-05-04,"0,0","0,0","0,0",En tiempo
F3-02,Fase 3,Requisitos técnicos y criterios de evaluación Piloto 1,Definir requisitos técnicos mínimos y métricas de éxito del Piloto 1,2026-05-11,2026-05-16,12,"6,25%",0,No iniciado,"0,0","0,0",En tiempo,"0,00",13,,13,2026-05-11,"0,0","0,0","0,0",En tiempo
F3-03,Fase 3,Diseño conceptual Piloto 2 (opcional),"Caso de uso alternativo: alcance, flujo funcional y métricas de éxito",2026-05-18,2026-05-23,12,"6,25%",0,No iniciado,"0,0","0,0",En tiempo,"0,00",14,,14,2026-05-18,"0,0","0,0","0,0",En tiempo
F4-01,Fase 4,Sesiones de consultoría técnica (3-4 sesiones),"Transferencia de conocimiento: arquitectura de flujos, viabilidad técnica, sector público",2026-05-18,2026-05-23,8,"4,17%",0,No iniciado,"0,0","0,0",En tiempo,"0,00",14,,15,2026-05-25,"0,0","0,0","0,0",En tiempo
F4-02,Fase 4,Consolidación Catálogo Técnico de Herramientas de IA,Redacción del catálogo técnico final 12-15 páginas con 10-12 herramientas documentadas,2026-05-18,2026-05-23,6,"3,13%",0,No iniciado,"0,0","0,0",En tiempo,"0,00",14,,16,2026-06-01,"0,0","0,0","0,0",En tiempo
F4-03,Fase 4,Informe Final de Consultoría Técnica,Síntesis ejecutiva 10-12 páginas consolidando todos los hallazgos del proyecto,2026-05-23,2026-05-25,6,"3,13%",0,No iniciado,"0,0","0,0",En tiempo,"0,00",14,,,,,,,
F4-04,Fase 4,Revisión y entrega final,"Revisión integral de todos los entregables, ajustes finales y entrega oficial",2026-05-23,2026-05-25,4,"2,08%",0,No iniciado,"0,0","0,0",En tiempo,"0,00",14,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
TOTALES,,Progreso total ponderado (%),"0,0",Avance esperado (%),"3,1",Diferencia,"-3,1",Alerta global,Retraso leve,,,,,,,,,,,,
